target,f1,f2,f3,f4,f5,f6,f7,f8,f9
50.33,251.65,155.9,0,0.1,425.05,500,333000,5,15
3.6,18,37.25,0,0,217.55,500,36000,10,30
3.13,15.65,19.25,0,0,315.4,500,427500,10,35
2.59,12.95,22.5,0,0,249.4,500,423000,10,30
3.6,18,0,125.65,0,500,70.9,283500,5,15
2.99,14.95,0,57.4,0,500,126,351000,10,35
57.78,288.9,138.95,0,0.15,450.6,500,283500,5,5
2.7,13.5,24.5,0,0,241.3,500,72000,10,35
3.28,16.4,25.75,0,0,268.6,500,121500,10,30
2.84,14.2,26.3,0,0,237.55,500,126000,5,5
2.92,14.6,0,38.15,0,500,178.7,198000,10,35
2.95,14.75,21.4,0,0,283.75,500,112500,10,30
5.08,25.4,0,59.05,0,500,197.55,234000,5,20
4.93,24.65,9.2,77.2,0,468.45,152.1,400500,5,10
3.28,16.4,12.4,0.2,0,398.85,499.95,76500,10,30
3.28,16.4,0,84.6,0,500,95.15,373500,10,35
10.62,53.1,39.05,0,0,402.8,500,27000,5,10
2.95,14.75,0,53.45,0,500,133,337500,10,35
2.95,14.75,0,86.6,0,500,83.95,373500,10,35
2.99,14.95,22.85,0,0,273.75,500,76500,5,20
38.66,193.3,6.3,2.7,0.1,499.75,499.95,265500,10,30
3.49,17.45,0,105.85,0,500,81.35,315000,10,30
3.49,17.45,0,83,0,500,102.85,319500,5,15
2.92,14.6,0,36.7,0,500,184.8,175500,10,35
3.1,15.5,0,82.1,0,500,92.75,373500,10,35
4.14,20.7,17.1,0.7,0,385.5,499.7,418500,5,5
3.13,15.65,16.4,0,0,345.2,500,58500,10,30
4.07,20.35,0,83.35,0,500,118.6,391500,5,10
39.17,195.85,57.25,0,0.1,479.9,500,193500,5,5
3.82,19.1,32.2,0,0,255.1,500,13500,10,30
3.46,17.3,18,0,0,346.45,500,18000,10,35
57.85,289.25,67.3,0,0.15,487,500,189000,5,20
39.6,198,7,10.8,0.1,499.7,499.25,387000,5,15
3.13,15.65,0,84.8,0,500,90.75,252000,5,10
77.47,387.35,174.95,0,0.2,455.7,500,301500,5,10
2.81,14.05,22.7,0,0,263.15,500,45000,5,25
57.64,288.2,170.3,0,0.15,430.45,500,270000,5,10
54.54,272.7,97.75,0,0.15,470.7,500,279000,5,20
52.99,264.95,77.2,0,0.1,480.05,500,261000,5,25
45.68,228.4,161.3,0,0.1,408.4,500,216000,5,10
4.46,22.3,17.3,0,0,395.05,500,94500,5,10
2.84,14.2,18.9,0,0,300.35,500,99000,5,10
6.16,30.8,0,118.1,0,500,126.2,256500,10,30
108.22,541.1,202.5,0,0.25,468.3,500,355500,5,5
3.56,17.8,20.5,0,0,327.8,500,99000,5,5
49.39,246.95,140.2,0,0.1,434.8,500,252000,5,15
3.28,16.4,12.05,0,0,402.95,500,72000,5,25
2.63,13.15,0,59.95,0,500,107.15,202500,10,35
2.95,14.75,0,56.9,0,500,125.45,373500,10,35
3.56,17.8,0,84.8,0,500,102.7,310500,5,5
3.38,16.9,32.05,0,0,233.2,500,81000,5,25
3.74,18.7,23.4,0,0,312.15,500,31500,5,25
48.02,240.1,111.6,0,0.1,453.4,500,180000,5,15
3.38,16.9,22.85,0,0,297.3,500,22500,5,10
2.95,14.75,28.6,0,0,229.2,500,72000,5,5
120.13,600.65,205.2,0,0.3,473.15,500,360000,5,20
30.02,150.1,0,34.2,0.05,500,487.5,319500,5,20
9.07,45.35,0,125.65,0,500,169.75,234000,5,15
3.28,16.4,23.6,0,0,285.35,500,139500,10,30
3.56,17.8,0,109.6,0,500,80.15,297000,10,35
58.9,294.5,137,0,0.15,453.35,500,171000,5,25
3.64,18.2,32.6,0,0,243.75,500,9000,5,25
2.92,14.6,24.3,0,0,257.5,500,90000,5,20
4.1,20.5,15.65,0.9,0,397.45,499.5,67500,5,20
2.88,14.4,25.2,0,0,248.05,500,13500,10,35
3.38,16.9,0,81.2,0,500,101.9,342000,10,30
3.78,18.9,26.3,0,0,291.8,500,4500,5,25
32.29,161.45,34.4,1.45,0.05,489,500,324000,5,15
2.95,14.75,0,56.35,0,500,126.6,310500,10,35
2.56,12.8,26.1,0,0,220.15,500,31500,10,35
3.17,15.85,23.6,0,0,278.75,500,99000,10,35
3.64,18.2,18.7,0,0,348.75,500,135000,5,20
60.3,301.5,87.65,0,0.15,480.1,500,288000,5,15
2.95,14.75,22.15,0,0,277.15,500,54000,5,20
3.89,19.45,22.3,0,0,328.65,500,121500,5,5
3.96,19.8,26.3,0,0,300.75,500,405000,5,10
2.77,13.85,26.1,0,0,234.35,500,9000,5,5
3.06,15.3,32.2,0,0,214.6,500,27000,10,30
3.92,19.6,0,91.6,0,500,104.6,391500,5,20
93.38,466.9,297.2,0,0.2,421.8,500,153000,5,25
6.26,31.3,0,112.3,0,500,134.25,306000,10,35
3.38,16.9,0,133.75,0,500,62.7,355500,10,30
68.58,342.9,180.35,0,0.15,442.5,500,342000,5,20
4.64,23.2,21.25,0,0,368.7,500,58500,10,35
4,20,19.25,0,0,360.25,500,112500,10,35
68.47,342.35,221.4,0,0.15,419.85,500,261000,5,5
3.67,18.35,25.9,0,0,289.05,500,418500,5,5
3.96,19.8,15.5,0.2,0,393.7,499.95,18000,5,5
75.92,379.6,115.55,0,0.15,478.35,500,328500,5,15
62.93,314.65,140.2,0,0.15,456.7,500,175500,5,15
90.14,450.7,292.3,0,0.2,419.5,500,148500,5,20
91.84,459.2,217.1,0,0.2,452.05,500,99000,10,30
124.85,624.25,313.75,0,0.3,446.75,500,180000,5,15
113.54,567.7,215.65,0,0.25,467.4,500,256500,5,5
72.14,360.7,198.55,0,0.15,438,500,198000,5,25
66.67,333.35,188.8,0,0.15,435.05,500,18000,5,15
40.25,201.25,14.6,0.2,0.1,498.7,500,324000,5,15
3.28,16.4,0,75.8,0,500,105.75,360000,10,35
4.1,20.5,21.25,0,0,347.15,500,108000,5,15
3.49,17.45,34.75,0,0,224.4,500,405000,5,15
3.42,17.1,22.85,0,0,299.6,500,130500,5,20
58.97,294.85,110,0,0.15,468.45,500,337500,5,25
35.24,176.2,82.45,0,0.1,452.85,500,364500,5,25
3.35,16.75,29.15,0,0,249.1,500,423000,10,30
2.99,14.95,8.8,2.5,0,430.9,493.15,103500,5,25
43.81,219.05,81.35,0,0.1,468.7,500,247500,5,10
21.89,109.45,65.9,1.6,0.05,428.35,499.95,148500,5,5
3.1,15.5,27.35,0,0,246.55,500,81000,5,25
70.2,351,92.9,0,0.15,483.35,500,310500,5,20
70.49,352.45,246.4,0,0.15,409.8,500,207000,5,20
69.52,347.6,183.05,0,0.15,442.4,500,171000,5,25
3.2,16,0,82.25,0,500,95.45,387000,10,30
71.78,358.9,210.25,0,0.15,431.4,500,252000,5,20
33.19,165.95,8.45,7.2,0.1,499.35,499.55,261000,10,30
4.1,20.5,0,130.7,0,500,77.5,355500,10,30
3.6,18,30.95,0,0,251.35,500,423000,5,15
57.38,286.9,185.4,0,0.15,419.95,500,211500,10,35
61.45,307.25,117,0,0.15,467.25,500,288000,5,15
3.38,16.9,11.9,0,0,408.8,500,22500,5,5
89.71,448.55,192.05,0,0.2,459.65,500,297000,10,30
108.47,542.35,262.8,0,0.25,449.95,500,184500,10,35
3.67,18.35,17.45,0,0,362.35,500,418500,5,15
3.85,19.25,0,86.05,0,500,109.15,373500,5,15
122.65,613.25,277.75,0,0.3,455.45,500,243000,5,20
3.24,16.2,0,89.8,0,500,88.75,373500,5,25
82.04,410.2,66.95,1.25,0.2,493.45,500,373500,5,10
4.25,21.25,20,0,0,364.1,500,130500,5,5
3.06,15.3,19.6,0,0,307.65,500,418500,10,35
36.5,182.5,129.05,0,0.1,408.25,500,58500,5,15
2.66,13.3,0,58.85,0,500,110.2,283500,10,35
3.31,16.55,19.6,0,0,322.6,500,76500,5,20
2.81,14.05,28.8,0,0,219.25,500,18000,5,10
106.96,534.8,236.35,0,0.25,457.35,500,184500,5,20
2.81,14.05,20.35,0,0,284.1,500,22500,10,35
3.24,16.2,0,64.45,0,500,121.9,220500,10,30
107.82,539.1,290.7,0,0.25,440.1,500,423000,5,25
2.63,13.15,24.3,0,0,237.95,500,423000,5,20
13.97,69.85,5.4,25.4,0.05,498.5,469.9,211500,10,35
31.9,159.5,6.1,18.2,0.05,499.65,496.8,373500,5,25
58,290,161.3,0,0.15,436.95,500,247500,5,10
116.06,580.3,239.4,0,0.25,462.2,500,337500,5,20
98.6,493,112.5,0,0.25,487.45,500,243000,5,5
3.24,16.2,20.5,0,0,310,500,126000,10,30
4.07,20.35,19.1,0,0,364.55,500,31500,10,35
3.82,19.1,0,29.5,0,500,271.75,216000,10,30
2.81,14.05,26.45,0,0,234.55,500,9000,5,20
28.73,143.65,0,29.7,0.05,500,489.65,184500,10,30
3.49,17.45,32.4,0,0,237.1,500,423000,5,10
3.2,16,26.65,0,0,257.35,500,85500,5,20
2.74,13.7,26.1,0,0,232.4,500,427500,10,35
3.28,16.4,25,0,0,274.25,500,99000,5,15
3.49,17.45,33.1,0,0,233.2,500,63000,10,30
59.33,296.65,107.45,0,0.15,470.1,500,171000,5,15
3.02,15.1,19.45,0,0,306.6,500,58500,5,10
2.99,14.95,0,86.4,0,500,85.25,396000,10,35
3.92,19.6,30.8,0,0,268.45,500,0,5,20
3.89,19.45,0,55.8,0,500,164.55,333000,5,20
2.88,14.4,32.6,0,0,202.05,500,126000,5,10
40.46,202.3,65.9,1.1,0.1,475.4,500,400500,5,20
104.94,524.7,216,0,0.25,462.35,500,270000,5,10
12.02,60.1,6.1,61.75,0.05,497.45,348.75,220500,5,20
2.63,13.15,20.5,0,0,269.95,500,13500,10,30
4.03,20.15,0,133.4,0,500,74.7,382500,5,15
4.03,20.15,0,132.85,0,500,75,319500,10,30
59.29,296.45,228.05,0,0.15,396.3,500,207000,5,15
2.7,13.5,21.95,0,0,261.95,500,36000,10,30
3.67,18.35,20.35,0,0,334.85,500,99000,5,10
3.06,15.3,20.15,0,0,302.35,500,423000,10,30
2.74,13.7,22.3,0,0,261.75,500,45000,10,30
4.61,23.05,33.85,0,0,281.4,500,36000,5,10
3.02,15.1,25,0,0,258.5,500,423000,5,10
2.95,14.75,24.3,0,0,259.45,500,130500,5,25
2.74,13.7,0,59.6,0,500,112,351000,5,25
3.42,17.1,19.8,0,0,326.8,500,427500,5,20
4.25,21.25,17.1,0.7,0,389.55,499.75,409500,5,15
